"topic","indicator","year_from","year_to","health_region","impb","dhb","reg","gch","gender","agegroup","māori","pacific","asian","other_euro","nzdep_quin","disability","age_standardised","proportion","proportion_low","proportion_high","total","total_low","total_high","mean","mean_low","mean_high","quality_flag"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Nelson Region","All","Male","All","All","All","All","All","All","All",TRUE,"0.756","0.642"," 0.848",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Nelson Region","All","Female","All","All","All","All","All","All","All",TRUE,"0.765","0.697"," 0.824",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Northland Region","All","Male","All","All","All","All","All","All","All",TRUE,"0.767","0.651"," 0.860",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Northland Region","All","Female","All","All","All","All","All","All","All",TRUE,"0.765","0.710"," 0.815",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Otago Region","All","Male","All","All","All","All","All","All","All",TRUE,"0.821","0.734"," 0.890",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Otago Region","All","Female","All","All","All","All","All","All","All",TRUE,"0.873","0.812"," 0.920",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Southland Region","All","Male","All","All","All","All","All","All","All",TRUE,"0.806","0.695"," 0.891",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Southland Region","All","Female","All","All","All","All","All","All","All",TRUE,"0.855","0.757"," 0.924",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Taranaki Region","All","Male","All","All","All","All","All","All","All",TRUE,"0.823","0.711"," 0.906",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Taranaki Region","All","Female","All","All","All","All","All","All","All",TRUE,"0.820","0.736"," 0.887",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Tasman Region","All","Male","All","All","All","All","All","All","All",TRUE,"0.618","0.445"," 0.771",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Tasman Region","All","Female","All","All","All","All","All","All","All",TRUE,"0.767","0.489"," 0.938",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Waikato Region","All","Male","All","All","All","All","All","All","All",TRUE,"0.819","0.779"," 0.855",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Waikato Region","All","Female","All","All","All","All","All","All","All",TRUE,"0.787","0.748"," 0.822",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Wellington Region","All","Male","All","All","All","All","All","All","All",TRUE,"0.837","0.806"," 0.865",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Wellington Region","All","Female","All","All","All","All","All","All","All",TRUE,"0.820","0.784"," 0.853",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","West Coast Region","All","Male","All","All","All","All","All","All","All",TRUE,"0.760","0.641"," 0.856",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","West Coast Region","All","Female","All","All","All","All","All","All","All",TRUE,"0.698","0.430"," 0.893",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","Northern | Te Tai Tokerau","All","All","All","All","All","15-24","All","All","All","All","All","All",TRUE,"0.853","0.806"," 0.892",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","Northern | Te Tai Tokerau","All","All","All","All","All","25-34","All","All","All","All","All","All",TRUE,"0.813","0.779"," 0.844",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","Northern | Te Tai Tokerau","All","All","All","All","All","35-44","All","All","All","All","All","All",TRUE,"0.846","0.819"," 0.871",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","Northern | Te Tai Tokerau","All","All","All","All","All","45-54","All","All","All","All","All","All",TRUE,"0.842","0.810"," 0.871",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","Northern | Te Tai Tokerau","All","All","All","All","All","55-64","All","All","All","All","All","All",TRUE,"0.815","0.780"," 0.846",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","Northern | Te Tai Tokerau","All","All","All","All","All","65-74","All","All","All","All","All","All",TRUE,"0.846","0.808"," 0.878",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","Northern | Te Tai Tokerau","All","All","All","All","All","75+","All","All","All","All","All","All",TRUE,"0.886","0.836"," 0.925",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","Midland | Te Manawa Taki","All","All","All","All","All","15-24","All","All","All","All","All","All",TRUE,"0.818","0.780"," 0.852",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","Midland | Te Manawa Taki","All","All","All","All","All","25-34","All","All","All","All","All","All",TRUE,"0.812","0.770"," 0.848",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","Midland | Te Manawa Taki","All","All","All","All","All","35-44","All","All","All","All","All","All",TRUE,"0.833","0.794"," 0.867",NA,NA,NA,NA,NA,NA,"None"
